id,question
Q00463,"What subject is a way of learning about the natural world that is based on evidence and logic?"
Q00464,"What is the term of a phase change if solid water has it's average kinetic energy increased to change it to liquid water?"
Q00465,"What is the most common type of cancer developed in children?"
Q00466,"if two students of equal strength pull a double sided cup in opposite directions, what will happen?"
Q00467,"What can have a positive impact on the environment?"
Q00468,"Animals of the same species may have difficulty recognizing each other. Which adaptation most likely developed to help animals recognize each other?"
Q00469,"What are iron nails made out of?"
Q00470,"the Earth rotating on its axis causes stars to appear to move across the sky when?"
Q00471,"Incinerating half a herd of cows means there will be"
Q00472,"In which process is nitrogen from the air put into a form that plants can use?"
Q00473,"what uses thirst to realize it needs to replenish its bodily water?"
Q00474,"What can muscle spasms cause?"
Q00475,"When does a fertilized egg become an offspring?"
Q00476,"What occurs when light bends as it passes from one type of matter to another?"
Q00477,"In the human body, cellular respiration breaks down sugar molecules after they enter the cell. What results from this process?"
Q00478,"Plants use what for their cell walls?"
Q00479,"What (nh3) is one of the few thermodynamically stable binary compounds of nitrogen with a nonmetal?"
Q00480,"Why are exotic species also called invasive species?"
Q00481,"Which of the following is made of atoms?"
Q00482,"Which conclusion is best supported by a tree-growth ring that is much narrower than the other growth rings?"
Q00483,"To ensure that water is safe to drink, harmful what are removed before drinking?"
Q00484,"Which is likeliest to attract a magnet?"
Q00485,"what females lack a uterus and vagina?"
Q00486,"How does the distance between galaxies change as the universe expands?"
Q00487,"Two students each carry a box up to the third floor of a building. The total mass of each student and the box she is carrying is the same. Roberta makes the trip in 45 s while Mary takes 30 s. Which of the following statements best describes this task?"
Q00488,"What do you call elements that contain only atoms of one type of element?"
Q00489,"A goiter is a visible indication of deficiency of what?"
Q00490,"What is the main reason humans need nitrogen to survive?"
Q00491,"What are the only organelles that prokaryotic cells have?"
Q00492,"What collects fluid?"
Q00493,"What has a positive impact on mans survival?"
Q00494,"Kerry made a simple flashlight. She recorded the following statements in her lab book. Which statement is an inference?"
Q00495,"Diseases that can be transmitted between organisms are"
Q00496,"Water will become vapor quicker in"
Q00497,"What is the plane that divides the body or an organ vertically into right and left sides?"
Q00498,"Chromosomes are what made of deoxyribonucleic acid and proteins?"
Q00499,"Cancer involves what changes that modify cell-cycle control and alter the growth rate or progression of the cell through the cell cycle?"
Q00500,"Of these, a wolf will make its home very nearest to"
Q00501,"What location that had a disaster in 2017 was caused by heavy rains?"
Q00502,"Where does most water evaporate from?"
Q00503,"complex social behaviors can be seen in insects living how"
Q00504,"Northern countries have extensive erosion due to"
Q00505,"What are the subatomic particles of the nucleus called?"
Q00506,"Does blood flow increase or decrease when blood vessels constrict?"
Q00507,"where are the small organelles that make protein get put together?"
Q00508,"cycles of day and night occur once per"
Q00509,"During a space mission, scientists will send experiments for the astronauts to conduct in space. In many cases, scientists have made predictions about the outcome of the experiment. Why do astronauts perform the experiment if the results have already been predicted?"
Q00510,"Images from the Voyager and the Galileo spacecraft provide evidence Europa has a liquid ocean under a surface of ice that results in part from distinctive, surface-cracking patterns produced by which events?"
Q00511,"What do gymnosperms produce?"
Q00512,"Damaged DNA might benefit from:"
Q00513,"Which property can you study by comparing the mass of an object relative to its size?"
Q00514,"What part of an atom orbits around the center of the atom?"
Q00515,"Otto pushed a toy car across a floor. The car traveled fast across the wood, but it slowed to a stop on the carpet. Which best explains what happened when the car reached the carpet?"
Q00516,"Which unit of measurement describes an object's length?"
Q00517,"Water from the land and oceans enters the atmosphere by which process?"
Q00518,"What can be fatal?"
Q00519,"What is the term for an underground layer of rock that is saturated with groundwater?"
Q00520,"Most of the bacteria in a forest ecosystem are best classified as which of the following types of organisms?"
Q00521,"When is a hemisphere tilted towards the sun?"
Q00522,"What is the matter through which sound waves travel?"
Q00523,"What temperature are icebergs?"
Q00524,"treating water is a what?"
Q00525,"A resource from nature are"
Q00526,"In addition to a vibrating electric field what does an electromagnetic wave consist of?"
Q00527,"What contributes to prey animals being able to survive predators long enough to mate?"
Q00528,"After fluid collects in nephron tubules in the kidney, where does it move to?"
Q00529,"What does solar power reduce?"
Q00530,"Nicole is learning about the characteristics of different vertebrates. Which is a common characteristic of mammals?"
Q00531,"A mushroom is only a specialised reproductive part of the whole fungus. the main part of the fungi is underground in a whole web of hyphae, called this?"
Q00532,"Which of these are inherited instead of acquired?"
Q00533,"Magma contains"
Q00534,"Meadow vales are"
Q00535,"What occurs in water as the moon revolves around Earth?"
Q00536,"What is the name of the liquid component of a solution?"
Q00537,"What is a collection of fibrin, platelets, and erythrocytes that has accumulated along the lining of a blood vessel called?"
Q00538,"What does milk prevent?"
Q00539,"What is the process in which cells break down glucose, release the stored energy, and use it to make atp"
Q00540,"In a bowl of water with the sun shining on it, what happens to the water after four hours?"
Q00541,"What can scraping onself cause?"
Q00542,"Sometimes, a black-tailed deer will caution other deer of danger by"
Q00543,"What are female gonads normally called?"
Q00544,"Doing what can cause sound to be made in stringed instruments?"
Q00545,"What man-made devices in space are used to observe the earth's surface?"
Q00546,"The mathematical model for calculating speed is shown below. Speed = distance/time. An airplane traveled 700 kilometers in two hours during a trip. What was the average speed of the plane during the trip?"
Q00547,"Which best illustrates the sequence of steps that should be followed when solving technological problems?"
Q00548,"Which substance should a student apply to the skin if he or she gets splashed with an acid?"
Q00549,"Where do living things obtain the energy to carry out all life processes?"
Q00550,"A line graph is best used when the measured variable is"
Q00551,"What causes rocks, dirt, and earth to combine?"
Q00552,"What can carry nerve impulses from tissues and organs to the spinal cord and brain?"
Q00553,"What do fungi require?"
Q00554,"Which of these traits is inherited but greatly influenced by the environment?"
Q00555,"When is growth faster?"
Q00556,"What absorbs all visible light?"
Q00557,"Within the chloroplast, synthesis of what takes place in the fluid inside the inner membrane called the stroma?"
Q00558,"In a rubber duck race, the winning duck traveled 300 meters in 10 minutes. What was the duck's average speed?"
Q00559,"what causes acid rain?"
Q00560,"What might be harder to digest?"
Q00561,"What has a pseudocoelom and hydrostatic skeleton?"
Q00562,"Which event can lead to the human caused change of an environment?"
Q00563,"Which likely completes a circuit?"
Q00564,"The cells of the blastocyst form an inner cell mass called the what?"
Q00565,"What is the term for a change in the inherited traits of organisms over time?"
Q00566,"Which human body system forms a barrier between internal body structures and the external environment?"
Q00567,"If a lizard is unable to obtain sufficient nutrients in a period of time, the resulting effect may be"
Q00568,"Approximately 50 million acres of tropical rainforest are cleared each year. Which effect most likely would result from the clearing of these forests?"
Q00569,"What kind of compounds are named for their positive metal ion first, followed by their negative nonmetal ion?"
Q00570,"What produces electricity by burning?"
Q00571,"Students studied the revolution of Earth around the Sun. During which month will Florida have the most sunlight energy available?"
Q00572,"A complete fossil has been found of a type of bird that cannot be identified. What can most likely be determined about the bird from the fossil?"
Q00573,"What do ALL plants require for survival?"
Q00574,"What decreases the melting point of liquid?"
Q00575,"What occurs in organelles that are found in the cells of plants and algae?"
Q00576,"Which two solar system objects have the least amount of distance between them?"
Q00577,"what type of location can water be conserved to help survival?"
Q00578,"What do you call a lens that causes the light rays to bend away from its axis?"
Q00579,"Which question can be answered through scientific investigation?"
Q00580,"The bacteria Escherichia coli (E. coli) live in the intestines of humans and make vitamins such as vitamin K and B-complex vitamins. Which would best describe the relationship between E. coli and humans?"
Q00581,"Which thrives in unusually hot and dry places?"
Q00582,"Collar cells have _ that trap the particles."
Q00583,"What type of resource cannot be replaced as easily as it is consumed?"
Q00584,"What is the term for plants that produce flowers and fruit?"
Q00585,"In the human body, the circulatory system works with the respiratory system by"
Q00586,"Some wasp species lay their eggs inside living caterpillars. As the eggs mature, they use the caterpillar as a food resource. Eventually, the wasp larvae hatch out of the caterpillar. This type of relationship is best described as"
Q00587,"What is another word for seed plants?"
Q00588,"What forms when cells start to grow out of control?"
Q00589,"which of these usually occur over the shortest period?"
Q00590,"A renewable resource is used to produce"
Q00591,"A town in northern Arkansas experienced colder than normal temperatures during part of the winter. Which change was most likely responsible for this?"
Q00592,"The digestive, excretory, and reproductive systems of amphibians share a body cavity called what?"
Q00593,"When a mirror reflects photons it creates"
Q00594,"Which process results in the formation of a new cell with a full set of chromosomes?"
Q00595,"What are genes located on the same pair?"
Q00596,"What term describes how close estimates are to one another?"
Q00597,"From simplest to most complicated, how are multicellular organisms organized?"
Q00598,"To experience evaporation you can"
Q00599,"What is used for finding food by some animals?"
Q00600,"During photosynthesis, plants absorb light energy from the Sun and convert it into chemical energy in the form of glucose. Which compounds combine in the presence of sunlight to form glucose?"
Q00601,"What can barometers measure?"
Q00602,"A person may inherit their mom's"
Q00603,"You need to move products across the ocean from Boston to Europe. What are your choices?"
Q00604,"Fan-shaped deposits of sediment form where?"
Q00605,"If a deer eats a berry plant, the plant eats"
Q00606,"What is the largest class of elements?"
Q00607,"What can kill their host?"
Q00608,"Where do you find the greatest biodiversity?"
Q00609,"Students are studying how the positions of Earth and the Sun effect changes on Earth. After four seasons have passed on Earth, which has happened?"
Q00610,"Which is an invertebrate mollusk?"
Q00611,"Bones support the body. What pulls and pushes on bones to move them?"
Q00612,"A student wants to find out how many different kinds of birds are found in a park. In addition to a bird identification book, the student should use ___."
Q00613,"What process creates sperm?"
Q00614,"What do most ecosystems get energy from?"
Q00615,"Which mixture can be easily separated by adding water and pouring it through a coffee filter?"
Q00616,"Hydrogen and helium are specifically involved as reactants in what nuclear reaction that is useful for making energy?"
Q00617,"who will move if a habitat can no longer support them?"
Q00618,"Strontium, barium, and radium are grouped together on the Periodic Table of the Elements because they all have"
Q00619,"Some schools have programs to recycle paper products such as student papers, newspapers, and cardboard boxes. Which of these statements describes a positive effect of recycling paper products?"
Q00620,"Some humans live in what?"
Q00621,"In which of the following organs is an acid produced?"
Q00622,"The sum of the pressures of the hydrogen and the water vapor is equal to what?"
Q00623,"What process is magnesium important to?"
Q00624,"Acid rain is the result of pollutants being released into the"
Q00625,"What is the final stage of mitosis?"
Q00626,"The atomic number of tungsten is 74. therefore, in a neutral atom of tungsten, there are 74 electrons. the atomic number of argon is 18. therefore, in a neutral atom of argon, there are how many electrons?"
Q00627,"By what processes does the ocean modify landforms?"
Q00628,"If someone wants to walk towards the magnetic north pole they should"
Q00629,"What element is the most common element in the universe?"
Q00630,"what does a river deposit into flood plains when it floods?"
Q00631,"Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5° Celsius?"
Q00632,"What can smallpox cause?"
Q00633,"One hundred grams of water and 100 grams of vegetable oil are heated in identical containers at 70°C for 5 minutes. Their temperatures at the end of 5 minutes are different due to the difference in which property?"
Q00634,"Allergic reactions can be caused by"
Q00635,"Which three things do animals need from their environment in order to survive?"
Q00636,"What can a prism do to sunlight?"
Q00637,"What is the smallest unit of a chemical compound that still has the properties of that compound?"
Q00638,"A student has just completed a laboratory activity. What is the last action that the student should perform before leaving the lab area?"
Q00639,"What protects reptiles from drying out?"
Q00640,"A retina may be illuminated by"
Q00641,"A battery operated vehicle requires everything but"
Q00642,"What can show how a rainbow is formed by refraction of light by splitting light into all different colors?"
Q00643,"What can decompose a bow?"
Q00644,"What can happen when an animal doesn't drink enough water?"
Q00645,"What do you call the substance in a cooling system that has a low boiling point and changes between liquid and gaseous states?"
Q00646,"The sun is responsible for"
Q00647,"electrical energy is converted into"
Q00648,"what causes a solid to form?"
Q00649,"When it is sleeting outdoors, that is because precipitation"
Q00650,"Over which of the following components of smog do humans have the least control?"
Q00651,"what do earthquakes affect?"
Q00652,"Removing what from food will preserve it?"
Q00653,"Which change increases the rate of a chemical reaction?"
Q00654,"What is the general name for a wave that travels along the surface of a medium?"
Q00655,"Shrimp are an example of what group within the arthropods?"
Q00656,"Wetlands are extremely important whats"
Q00657,"Why would prokaryotes be chemotrophs instead of phototrophs in a deep-sea hydrothermal vent?"
Q00658,"What type of proteins are only temporarily associated with the membrane?"
Q00659,"What type of force allows non-polar molecules to interact?"
Q00660,"An atom is the smallest unit of what that maintains the identity of the latter?"
Q00661,"A solid is likely to form in extreme"
Q00662,"Deserts are generally"
Q00663,"A thing may be changed on a chemical level after"
Q00664,"what do most copepods feed on?"
Q00665,"Which pair of organisms benefits each other the most?"
Q00666,"Which activity is an example of a good health habit?"
Q00667,"More than half of all known organisms are what?"
Q00668,"What can be essential for fruit production?"
Q00669,"The best soil mixture for plant growth and drainage is"
Q00670,"Particle accelerators, such as the Large Hadron Collider in Europe, accelerate subatomic particles to great speeds. These particles move in opposite directions at nearly the speed of light and collide into one another to simulate conditions that were present as the universe formed. Which property of matter in the initial moments of the universe are these accelerators designed to simulate?"
Q00671,"What are plants and animals?"
Q00672,"The weather forecast says a heavy snowstorm is coming later today. Which weather observation is likely just before the snow?"
Q00673,"Which of these statements is true about the parts that make up the atom?"
Q00674,"Chrissospilias are formed by"
Q00675,"A transformer has two coils, electrically insulated from each other. one coil is called the primary coil and the other is called the what?"
Q00676,"Earth has a limited supply of fresh drinking water. Which method is used to recycle water for humans to use?"
Q00677,"An ice cube placed in sunlight melts quickly. Which BEST explains this event?"
Q00678,"What natural resource can be damaged by the accumulation of too much salt?"
Q00679,"If a log is cold it is in"
Q00680,"Where does the small intestine begin?"
Q00681,"Insulin is an important protein for the regulation of glucose levels in the blood. Which statement best describes the function of insulin?"
Q00682,"What is emitted light used for ?"
Q00683,"Meissner’s corpuscles are not as plentiful in the palms as they are in the what other part of the hand?"
Q00684,"What type of stored chemical energy do plants create?"
Q00685,"When the digestive system is working"
Q00686,"What does creating paper do?"
Q00687,"Which land type is covered in snow for the largest portion of the year?"
Q00688,"What is the type of plant that has a single cotelydon in the seedling?"
Q00689,"What kind of circulatory system does a reptile have?"
Q00690,"A person wanting to protect humans from electrocution through wire contact would wrap the wire in"
Q00691,"What eats by trapping and filtering out food as water passes by?"
Q00692,"Which form of digestion is a purely physical process that does not change the chemical nature of the food?"
Q00693,"what converts carbon dioxide, water, and solar energy into carbohydrates for themselves?"
Q00694,"What does stormy weather helps plants do?"
Q00695,"What are single-celled or colonial organisms that do not have membranebound nuclei?"
Q00696,"what can infection or injury of the lungs result in?"
Q00697,"What is excreted through the urinary system?"
Q00698,"What is the largest known virus?"
Q00699,"What substance comes toward earth's crust through mantle plumes?"
Q00700,"Which number is closest to the estimated number of stars in the Milky Way galaxy?"
Q00701,"Sodium chloride (NaCl) is formed in a chemical reaction between sodium (Na) and chlorine (Cl_{2}). What is sodium chloride?"
Q00702,"At first glance the car seamed very small but just before it hits a person it will appear"
Q00703,"What is the series of changes in the life of an organism?"
Q00704,"What is used to cool the body?"
Q00705,"A reason there is so much debris and damage during tornadoes is due to rocks that are getting"
Q00706,"'red-shift' refers to a shift toward red in the spectrum from what celestial bodies?"
Q00707,"What are the three most common elements in the air we breathe?"
Q00708,"What is the standard unit for mass?"
Q00709,"The average number of individuals per unit of area can be expressed as what?"
Q00710,"When Chemical X is added to a certain liquid, the chemical breaks into Substances Y and Z. It is not possible to break Substances Y and Z into simpler particles. Which statement is best supported by this evidence?"
Q00711,"The scientific name for a giraffe is Giraffa camelopardalis. What two levels of classification does this name represent?"
Q00712,"Almost all turtles require great amounts of what to survive"
Q00713,"What is named after the type of enzyme they interact with in the cell?"
Q00714,"What does plant reproduction require?"
Q00715,"What do cows eat?"
Q00716,"what rotates causing cycles of day and night?"
Q00717,"What consists of the different species within an area?"
Q00718,"What element is the sun mostly made up of?"
Q00719,"What season will be changing when the daylight decreases."
Q00720,"In the small intestine, chyme mixes with bile, which emulsifies what substances?"
Q00721,"Algae perform photosynthesis and so they are like to be found where in a body of water?"
Q00722,"A person wants to dry their clothes for work. They seek out some energy that can be continuously gotten without running out, so they dry clothes using"
Q00723,"Muscle cells need to quickly convert energy from food molecules into a usable form. For this reason, which of the following do muscle cells have in greater numbers than most other types of cells?"
Q00724,"A kumquat is more likely than a steak to have"
Q00725,"Xenons use current to produce light as well as"
Q00726,"What can cause cell walls to relax?"
Q00727,"Converting electricity into different types of energy may be done by"
Q00728,"Materials must pass through a cell's semi-permeable membrane in order for energy to be utilized. This process is called"
Q00729,"What part of a person with myopia is longer than normal?"
Q00730,"Which statement best explains what happens to a leaf when it has lost much-needed water?"
Q00731,"Air temperature changes as what increases?"
Q00732,"The movement of ice causes glaciers to have cracks referred to as?"
Q00733,"what gets food by eating other living things?"
Q00734,"A good conductor of electricity would be"
Q00735,"Holding a hot dog over a campfire makes it"
Q00736,"What are the three common states of matter?"
Q00737,"What tool might measure something in meters?"
Q00738,"Which of the following is an abiotic factor in a river ecosystem?"
Q00739,"What can you make with the stove?"
Q00740,"Which class of elements best conducts electricity?"
Q00741,"What generally don't have to deal with extremes of temperature or moisture?"
Q00742,"Leaving your garage door open during a storm poses the risk of having animals going in due to them needing what"
Q00743,"What two planets is the asteroid belt found between?"
Q00744,"What occurs with the stopping of menses?"
Q00745,"What is one way to lower the freezing point of water?"
Q00746,"Which energy type is common enough in Nevada to make a significant contribution to the renewable energy needs of the state?"
Q00747,"If an ice cube that weighs 2 ounces melts, in liquid form, it will"
Q00748,"What does the vertebral column , or backbone, protect?"
Q00749,"Which two processes occur during the life spans of all animals?"
Q00750,"During the typical human female ovulation cycles, how many eggs are released?"
Q00751,"if weather is stormy then there is a greater chance of"
Q00752,"An animal usually requires a warm body temperature for survival, such as"
Q00753,"what causes direct damage to the lungs?"
Q00754,"During an earthquake what causes seismic waves?"
Q00755,"When taken to a new habitat, non-native plants often threaten native plants of the new habitat. Why do non-native plants threaten native plants?"
Q00756,"Creatures with six legs may live in what?"
Q00757,"Sugars are simple types of what biochemical compounds and possess relatively small molecules?"
Q00758,"An example of a learned behavior is"
Q00759,"Which of the following is the farthest from Earth?"
Q00760,"When considering if scientific research is correct, all of these are important except"
Q00761,"Plants can reproduce sexually and asexually. If one offspring is produced sexually while the other is produced asexually, what will only the sexually produced offspring have?"
Q00762,"A rabbit may enjoy"
Q00763,"What is the general name for a solid material that is formed via a natural process?"
Q00764,"Scanning acoustic microscopes use what kind of waves to scan a specimen?"
Q00765,"What do plants use nectar to attract?"
Q00766,"Who'd be able to see a rose is pink at night?"
Q00767,"Medical problems associated with the body responding poorly to insulin are commonly associated with what disease?"
Q00768,"Electron transport requires which of the following?"
Q00769,"An solid object with an irregular shape can be measured via what method?"
Q00770,"Which human organ system primarily exchanges gases between the body and the atmosphere?"
Q00771,"What can convert fossil fuels into motion?"
Q00772,"What dissolves in water when combined?"
Q00773,"A diet rich in calcium and what vitamin may reduce the risk of osteoporosis and related bone fractures?"
Q00774,"There are a series of rules for naming branched alkanes (and, ultimately, for all organic compounds). these rules make up the system of nomenclature for naming what?"
Q00775,"What is never lost and just changes forms?"
Q00776,"A cleft chin in humans is coded by the dominant allele C. A chin without a cleft is coded by the recessive allele c. A man with a cc allele combination for the trait produces a zygote with a woman with a Cc allele combination for the trait. Which allele combinations could occur in the zygote?"
Q00777,"What is the molecule, dipeptide formed together by?"
Q00778,"People eating meals or snacks containing substances are further processed in the"
Q00779,"What is the liquid component in blood?"
Q00780,"In order to play with a beach ball, you need to fill it with"
Q00781,"What are two types of lobe finned fish?"
Q00782,"What part of skin helps keep people warm?"
Q00783,"What would happen if all geese could not reproduce?"
Q00784,"Mrs. Henderson's class has five small, covered boxes. One contains perfume; another contains dried onions. There is also a box of pine needles, a box of lemon pieces, and a box with a paper towel wet with vanilla flavoring. Which should they do to get the best information about what is in each box?"
Q00785,"An idea that the universe originated with an explosion is supported by repeated observations of light from distant galaxies traveling away from Earth. An idea that has been tested repeatedly and is supported by repeated results is most likely a"
Q00786,"Macroevolution above the level of the species happens over what"
Q00787,"What are used to take infrared pictures from space?"
Q00788,"what might be followed by a period of parental care of the offspring?"
Q00789,"Why are many desert animals more active at night?"
Q00790,"Researchers recently discovered a gene in humans that previously was unknown to science. Which statement best explains why the gene probably was not discovered much sooner?"
Q00791,"Which statement best describes a neutron?"
Q00792,"Electric generators change kinetic energy to what type of energy?"
Q00793,"Which event occurs once per day?"
Q00794,"what usually has its leaves change color in autumn?"
Q00795,"A learned behavior is exhibited when a human displays that they can:"
Q00796,"What helps an insectivorous plant attract and digest insects?"
Q00797,"An egg will hatch if it what?"
Q00798,"The large positive free energy change leads to a value that is extremely what?"
Q00799,"What don't cnidarians such as jellyfish and corals have?"
Q00800,"if a driver drove by a corn field and tossed out his lit cigarette, what could happen?"
Q00801,"During which of the processes below does water vapor change to liquid water?"
Q00802,"Some types of bacteria can only live where oxygen is not present. These bacteria were well adapted to life on Earth over 2 billion years ago. Which of the following changes caused many of these bacteria to become extinct?"
Q00803,"What is the term for the horizontal displacement of a projectile from its starting point?"
Q00804,"The spectrum is made up of discrete lines representing transitions of the hydrogen electron between specific energy levels within what?"
Q00805,"Pressing your appendages against an object can allow one to"
Q00806,"What have a negative impact on an organism?"
Q00807,"What is the tube-like device used to reliably measure lower levels of radiation?"
Q00808,"A thousand new trucks are put on the road carrying produce. As a result"
Q00809,"Cooling or evaporation of what from the sea surface makes surface water dense?"
Q00810,"Which system supports the body, protects internal organs, and makes blood cells?"
Q00811,"Tiny organisms called plankton live in oceans. Some plankton can take energy from the Sun and turn it into food. How are plankton most useful to the animals that live in the ocean?"
Q00812,"What term is used to describe a process in which material travels from regions of high concentration to low concentration until equilibrium is reached?"
Q00813,"Sucrose consists of one molecule of glucose and one molecule of what else?"
Q00814,"A girl and her mom have the same"
Q00815,"The sodium-potassium pump is an active transport pump that exchanges sodium ions for what?"
Q00816,"What can fatty acids be combined with, in addition to carbon and oxygen?"
Q00817,"Food is chemical energy stored in what?"
Q00818,"Smoking tobacco decreases"
Q00819,"If an object eventually warms, it was exposed to"
Q00820,"What type of structures evolved to do the same job by unrelated organisms?"
Q00821,"Plants cell walls are made of"
Q00822,"Stress building up at the same rate over time at a fault causes what phenomenon?"
Q00823,"What transforms electricity into heat?"
Q00824,"A person is in the forest, lost. They need to signal to others that they are there, and their voice is gone, so they need to do it inaudibly. The person may signal with"
Q00825,"what molecules are encoded with instructions that tell cells what to do?"
Q00826,"Runoff from nearby farms can deposit excess amounts of nutrients into bodies of water such as lakes. This abiotic process will most likely cause a decrease in which aspect of a lake?"
Q00827,"All energy resources have benefits, risks, and drawbacks. Which two resources present the most dangerous risks and consequences for the environment during their acquisition?"
Q00828,"Where does evidence that magnetic reversals occur come from?"
Q00829,"Viruses are usually considered to be what?"
Q00830,"Nighttime in the desert may cause animals to"
Q00831,"What organ helps take up glucose from the blood?"
Q00832,"What is the name of the small bumps that contain taste buds and covers the tongue?"
Q00833,"What is an attitude of doubt about the truthfulness of claims that lack empirical evidence?"
Q00834,"what do lions live in?"
Q00835,"Plants can tell the time of day and time of year by sensing and using various wavelengths of what"
Q00836,"Which order of succession of natural communities would most likely occur in New York State?"
Q00837,"Bluebirds prefer to live near open, grassy places. Where would you most likely find a bluebird?"
Q00838,"Convex lenses are thicker in the middle than at the edges so they cause rays of light to converge, or meet, at a point called what?"
Q00839,"Lacking a bony endoskeleton, sharks, rays, and ratfish belong to what group of fish?"
Q00840,"Skin can protect your"
Q00841,"A student is given three identically sized blocks. Each block is made of a different material. What characteristic of the blocks should be examined to find out which block is made of metal?"
Q00842,"An object that contains gas often goes"
Q00843,"Some what with feathers are pollinators?"
Q00844,"Along with other organelles, all eukaryotic cells possess what structure?"
Q00845,"What is the active ingredient in cloves?"
Q00846,"Who can treat issues caused by mold spores?"
Q00847,"When electric current flows through the metal filament of a light bulb, electrical energy is converted to"
Q00848,"When do weather balloons return to earth?"
Q00849,"What are used to lift large masses of magnetic materials such as scrap iron, rolls of steel, and auto parts?"
Q00850,"Scientists often use mathematical models and computer simulations to study systems. What is the main advantage of using these techniques for studying the spread of infectious diseases?"
Q00851,"Which action is a learned characteristic of a newborn horse?"
Q00852,"Why has only one-half of the Moon ever been observed from Earth?"
Q00853,"What method uses a retailer's coding method to catalog biological specimens in museums?"
Q00854,"As bacterial resistance to antibiotics rises, the ability of medical professionals to"
Q00855,"What is a thin layer of gas that surrounds earth called?"
Q00856,"The bottom of the space shuttle is covered with ceramic tile. This material was chosen because it withstands"
Q00857,"What are the two hormones primarily responsible for maintaining homeostasis of blood glucose levels?"
Q00858,"The length of a year on Earth is a little over 365 days. The length of a year on a planet is best described as the time it takes for which to occur?"
Q00859,"Which statement best explains why photosynthesis is the foundation of most food webs?"
Q00860,"During the summer solstice the Earth is actually what in relation to the red giant?"
Q00861,"The efficiency of an engine range is due to what?"
Q00862,"What two things are a phospholipid molecules composed of?"
Q00863,"what is there a greater chance of in stormy weather?"
Q00864,"An extremely rapid surge of rising flood water that moves across usually dry land at about 30 feet or more each second is powerful enough to"
Q00865,"A major function of a plant's roots is to"
Q00866,"You would use a lever to move a"
Q00867,"The skeletal system protects"
Q00868,"Every copy of a particular protein manufactured by a cell shows the same incorrect amino acid at the same point in its structure. According to the central dogma of molecular biology, in which structure does this error originate?"
Q00869,"A group of vertebrates has lungs, a body covered with scales, internal fertilization, and amniotic eggs. Which group of vertebrates does this describe?"
Q00870,"Humans can be protected with"
Q00871,"Name the bacteria that make food through photosynthesis and release oxygen into the air?"
Q00872,"A magnifying glass would be useless in viewing?"
Q00873,"Examples of what process are evident in many biological systems because cells are surrounded by semipermeable membranes?"
Q00874,"What happens to the volume of a balloon when you add moles of gas to it by blowing up?"
Q00875,"Which body of water would be able to  dissolve oxygen and nutrients the best?"
Q00876,"What is something that all machines must overcome?"
Q00877,"What is when something changes from a gas into a liquid by reducing what is measured in temperature?"
Q00878,"migration is when animals travel from the northern state such as north dakota to Texas during what segment of time?"
Q00879,"Along with other elements, most ores are made of what?"
Q00880,"Which of the following is an example of the formation of a mixture?"
Q00881,"If a hog is going to eat dinner it can"
Q00882,"Insects have more social behaviors because all what?"
Q00883,"Keeping food cold prevents"
Q00884,"The domain geometry for a molecule with four electron pairs is called what?"
Q00885,"Making ups about 50 percent of the modern american diet, what food group can be classified according to the number of monomers they contain of simple sugars and/or complex sugars?"
Q00886,"Electricity can flow as long as it has a conductor to help it along, such as"
Q00887,"what does energy require?"
Q00888,"what do wind and rain cause?"
Q00889,"In a smoke detector, a battery in the electric circuit creates what between the metal plates?"
Q00890,"Which is a characteristic of a sperm cell but not of an egg cell?"
Q00891,"what needs contact to smooth over long periods of time?"
Q00892,"If a machine only changes the direction of a force without changing the ratio of the output/input forces, then what is its associated mechanical advantage?"
Q00893,"In a heat map, what color represents the hottest temperatures?"
Q00894,"What makes bagels easier to chew?"
Q00895,"What vitamins help heal bones?"
Q00896,"Natural disasters can cause"
Q00897,"An engineer designing a suspension bridge discovers it will need to carry twice the load that was initially estimated. One change the engineer must make to her original design to maintain safety is to increase the"
Q00898,"How do they classify tornadoes?"
Q00899,"What do animals use as a food course?"
Q00900,"Lying with their mouths open, a behavior called gaping, probably serves what function for crocodiles?"
Q00901,"A student suggests to the school board that they use a renewable energy source. The student suggests they use"
Q00902,"In order for a journal to be produced, it first requires"
Q00903,"Tissue plasminogen activator is a natural blood thinner. The coded sequence for the blood thinner is called PLAT , found on chromosome 8. It is used to treat people who have heart attacks and strokes. Tissue plasminogen activator can be made through genetic engineering. What is tissue plasminogen activator?"
Q00904,"The weather forecast indicates that a warm front will be moving into the area in the next 24 hours. Which type of weather will most likely result?"
Q00905,"What are formed by atoms gaining electrons?"
Q00906,"doing what with tobacco decreases athletic ability"
Q00907,"the average number of individuals per unit of area or what can vary considerably?"
Q00908,"On a field trip in a wooded area, you see a small, strange object. You wonder whether is is a live animal. The best way to find out is to observe the object to see if it"
Q00909,"pollen consists of tiny grains of what part of plants?"
Q00910,"Cells cannot live without what commonly occuring element found on Earth?"
Q00911,"Which force causes a soccer ball to fall to the ground after it has been kicked up in the air?"
Q00912,"Why does a plastic rod have a negative charge after being rubbed with a piece of fur?"
Q00913,"A prickly pear absorbs nutrients from"
Q00914,"Organic matter in soil can be increased by"
Q00915,"How many cycles do cells have?"
Q00916,"The only obvious difference between boys and girls at birth is what type of organs?"
Q00917,"What does Ginkgo biloba do seasonally?"
